Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
(maj Gen (retd.) ) Bhuwan Chandra Khanduri (avsm),GARHWAL,BJP,0,Graduate Professional,44357368,0,2014
Smt. Bijoya Chakraborty,GAUHATI,BJP,0,Post Graduate,12574493,0,2014
Mahesh Sharma,GAUTAM BUDHHA NAGAR,BJP,0,Graduate Professional,473797545,40905738,2014
Hari Manjhi,GAYA,BJP, 1 ,8th Pass,10184120,2000000,2014
Deepak Adhikari (dev),GHATAL,AITC,0,10th Pass,152447159,17493227,2014
Vijay Kumar Singh,GHAZIABAD,BJP, 2 ,Doctorate,41137044,2026774,2014
Manoj Sinha,GHAZIPUR,BJP,0,Graduate Professional,23376901,118700,2014
Harinarayan Rajbhar,GHOSI,BJP,0,Literate,23403964,0,2014
Ravindra Kumar Pandey,GIRIDIH,BJP,0,Graduate,73376970,1970628,2014
Nishikant Dubey,GODDA,BJP, 5 ,Post Graduate,155633719,0,2014
Kirti Vardhan Singh,GONDA,BJP,0,Post Graduate,74738429,9275782,2014
Janak Ram,GOPALGANJ,BJP, 2 ,Post Graduate,10582664,1039000,2014
Adityanath,GORAKHPUR,BJP, 3 ,Graduate,7217674,0,2014
Mallikarjun Kharge,GULBARGA,INC,0,Graduate Professional,102220880,7410154,2014
Jyotiraditya M. Scindia,GUNA,INC,0,Post Graduate,330888751,795000,2014
Jayadev Galla,GUNTUR,TDP,0,Graduate,6830581361,202334283,2014
Vinod Khanna,GURDASPUR,BJP,0,Graduate,669343376,12695306,2014
Inderjit Singh,GURGAON,BJP,0,Graduate Professional,250698763,0,2014
Narendra Singh Tomar,GWALIOR,BJP, 1 ,Graduate,11412622,4531444,2014
Ram Vilas Paswan,HAJIPUR,LJP, 2 ,Post Graduate,9642023,0,2014
Kunwar Pushpendra Singh,HAMIRPUR,BJP, 1 ,Post Graduate,71265181,2825539,2014
Anurag Singh Thakur,HAMIRPUR,BJP, 10 ,Graduate,46535803,2074555,2014
Anshul Verma,HARDOI,BJP,0,Post Graduate,30385000,0,2014
Ramesh Pokhariyal Nishank,HARDWAR,BJP, 1 ,Doctorate,17917274,1860684,2014
H.d. Devegowda,HASSAN,JD(S),0,Others,42721242,8648283,2014
Rajesh Kumar,HATHRAS,BJP,0,Graduate Professional,5651457,0,2014
Raju Shetty,HATKANANGLE,Swabhimani Paksha, 12 ,10th Pass,9896221,1504152,2014
Udasi Shivakumar Channabasappa,HAVERI,BJP,0,12th Pass,576693538,54423645,2014
Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,556814579,86380600,2014
Kristappa Nimmala,HINDUPUR,TDP, 2 ,Graduate,40793638,998480,2014
Rajeev Shankarrao Satav,HINGOLI,INC,0,Graduate Professional,49681499,584357,2014
Dushyant Chautala,HISAR,INLD,0,Graduate,361326990,68744460,2014
Ratna De,HOOGHLY,AITC,0,Graduate Professional,18617757,0,2014
Uday Pratap Singh,HOSHANGABAD,BJP, 1 ,Graduate,133375092,3775714,2014
Vijay Sampla,HOSHIARPUR,BJP,0,10th Pass,15164322,4020543,2014
Prasun Banerjee,HOWRAH,AITC,0,Graduate,10041098,0,2014
Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen, 4 ,Graduate Professional,40611099,14000000,2014
Adv.joice George,IDUKKI,IND, 4 ,Post Graduate,17396207,9417720,2014
Sumitra Mahajan,INDORE,BJP,0,Post Graduate,18732234,3539000,2014
Dr. Thokchom Meinya,INNER MANIPUR,INC,0,Doctorate,3825200,0,2014
Rakesh Singh Urf Ghanshyam Singh,JABALPUR,BJP, 1 ,Graduate,26564889,0,2014
Sugata Bose,JADAVPUR,AITC,0,Doctorate,46315770,0,2014
Kulamani Samal,JAGATSINGHPUR,BJD,0,Graduate Professional,25158570,0,2014
Dr. Arun Kumar,JAHANABAD,Rashtriya Lok Samta Party, 1 ,Doctorate,38846631,1000000,2014
Ramcharan Bohara,JAIPUR,BJP,0,12th Pass,135809546,23871000,2014
Rajyavardhan Singh Rathore,JAIPUR RURAL,BJP,0,Graduate,83734044,117065,2014
Rita Tarai,JAJPUR,BJD,0,12th Pass,1622003,0,2014
Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,104040531,6194323,2014
Bhanu Pratap Singh,JALAUN,BJP,0,Post Graduate,5774068,650000,2014
Patil Ashok Tapiram,JALGAON,BJP,0,Graduate,226180395,0,2014
Danve Raosaheb Dadarao,JALNA,BJP, 4 ,Graduate,184411862,8534130,2014
Devji Patel,JALORE,BJP,0,10th Pass,51846777,12780726,2014
Bijoy Chandra Barman,JALPAIGURI,AITC,0,Post Graduate,9396430,797019,2014
Jugal Kishore,JAMMU,BJP,0,10th Pass,26824308,300000,2014
Maadam Poonamben Hematbhai,JAMNAGAR,BJP,0,Graduate,174372249,62824615,2014
Bidyut Baran Mahato,JAMSHEDPUR,BJP, 8 ,12th Pass,16027526,715347,2014
Chirag Kumar Paswan,JAMUI,LJP,0,12th Pass,10414470,4458954,2014
Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,63014502,15160000,2014
Smt. Kamla Patle,JANJGIR-CHAMPA,BJP,0,12th Pass,18224350,0,2014
Krishna Pratap,JAUNPUR,BJP,0,Doctorate,40656909,4673939,2014
Pratima Mondal,JAYNAGAR,AITC,0,Post Graduate,10614252,0,2014
Dushyant,JHALAWAR BARAN,BJP,0,Post Graduate,239006838,2798782,2014
Birendra Kumar Chaudhary,JHANJHARPUR,BJP,0,Post Graduate,5158792,0,2014
Uma Bharti,JHANSI,BJP, 13 ,5th Pass,14376218,0,2014
Uma Saren,JHARGRAM,AITC,0,Graduate Professional,499646,0,2014
Santosh Ahlawat,JHUNJHUNU,BJP,0,Post Graduate,35897048,5704000,2014
Gajendrasingh Shekhawat,JODHPUR,BJP,0,Post Graduate,143491494,92198588,2014
Kamakhya Prasad Tasa,JORHAT,BJP,0,Post Graduate,1694785,0,2014
Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP, 1 ,12th Pass,7446059,1110690,2014
Chavda Vinod Lakhmashi,KACHCHH,BJP,0,Graduate Professional,5618643,411255,2014
Avinash Reddy Yeduguri Sandinti,KADAPA,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,70480623,5547296,2014
Hukum Singh,KAIRANA,BJP, 2 ,Graduate Professional,29078847,2941671,2014
Brij Bhusan Sharan Singh,KAISERGANJ,BJP, 2 ,Graduate Professional,61696767,11556027,2014
Thota Venkata Narasimham,KAKINADA,TDP,0,Graduate,17495976,120000,2014
Arka Keshari Deo,KALAHANDI,BJD,0,Graduate,69822063,831688,2014
Gourav Gogoi,KALIABOR,INC,0,Post Graduate,5473199,1042133,2014
K. Kamaraj,KALLAKURICHI,AIADMK,0,Post Graduate,35459256,544099,2014
Dr.shrikant Eknath Shinde,KALYAN,SHS,0,Graduate Professional,998000,0,2014
Maragatham K,KANCHEEPURAM,AIADMK,0,12th Pass,18997050,4468600,2014
Hemendra Chandra Singh,KANDHAMAL,BJD, 2 ,Graduate,503907437,4786551,2014
Shanta Kumar,KANGRA,BJP,0,Graduate Professional,19852104,0,2014
Vikram Usendi,KANKER,BJP,0,10th Pass,23376000,869000,2014
Dimple Yadav,KANNAUJ,SP,0,Graduate,280516418,6917710,2014
Radhakrishnan P.,KANNIYAKUMARI,BJP,0,Graduate Professional,40963269,0,2014
P K Sreemathi,KANNUR,CPI(M), 8 ,Others,16939970,0,2014
Dr.murli Manohar Joshi,KANPUR,BJP, 1 ,Doctorate,78410008,0,2014
Sisir Kumar Adhikari,KANTHI,AITC, 1 ,12th Pass,19498381,0,2014
Upendra Kushwaha,KARAKAT,Rashtriya Lok Samta Party, 4 ,Post Graduate,24829741,823834,2014
Manoj Rajoria,KARAULI DHOLPUR,BJP,0,Post Graduate,28636113,3277324,2014
Radheshyam Biswas,KARIMGANJ,AIUDF,0,12th Pass,7068281,0,2014
Vinod Kumar Boinapally,KARIMNAGAR,TRS,0,Graduate Professional,97275990,0,2014
Ashwini Kumar,KARNAL,BJP, 6 ,Graduate,698638135,153937858,2014
Thambidurai.m,KARUR,AIADMK, 2 ,Doctorate,132457262,51481886,2014
P Karunakaran,KASARAGOD,CPI(M), 6 ,Post Graduate,5900345,0,2014
Shah Tariq Anwar,KATIHAR,NCP, 1 ,Graduate,104600951,20454853,2014
Vinod Kumar,KAUSHAMBI,BJP,0,Graduate,27091681,10932227,2014
Sri Baijayant Panda,KENDRAPARA,BJD,0,Graduate Professional,312432726,300000,2014
Sakuntala Laguri,KEONJHAR,BJD,0,10th Pass,101531625,0,2014
Ranjit Singh Brahmpura,KHADOOR SAHIB,SAD,0,8th Pass,177814755,4200000,2014
Choudhary Mahboob Ali Kaiser,KHAGARIA,LJP, 1 ,Graduate,66569502,0,2014
Nagendra Singh,KHAJURAHO,BJP,0,Graduate,44538002,0,2014
Ponguleti Srinivasa Reddy,KHAMMAM,Yuvajana Sramika Rythu Congress Party,0,12th Pass,346150516,1240000,2014
Nandkumar Singh Chouhan,KHANDWA,BJP,0,Post Graduate,40188989,9561188,2014
Subhash Patel,KHARGONE,BJP,0,Post Graduate,36138699,2300000,2014
Chauhan Devusinh Jesingbhai,KHEDA,BJP,0,12th Pass,9426376,1047919,2014
