Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
BHANU PRATAP SINGH VERMA,Jalaun,BJP, 1 ,Post Graduate,446550,114460,2004
PRO. S.P SINGH BAGHEL,Jalesar,SP, 1 ,Post Graduate,5623000,787357,2004
Y. G. MAHAJAN (SIR),Jalgaon,BJP, 1 ,Post Graduate,6719861,0,2004
DANVE RAOSAHEB DADARAO PATIL,Jalna,BJP,0,12th Pass,9681004,715955,2004
B. SUSHEELA,Jalore,BJP,0,Post Graduate,9629204,904335,2004
Minati Sen,Jalpaiguri,CPM,0,Graduate Professional,1711703,47377,2004
MADAN LAL SHARMA,Jammu,INC,0,10th Pass,6217000,149750,2004
AHIR  VIKRAMBHAI,Jamnagar,INC,0,Graduate,4837028,574600,2004
SUNIL KUMAR MAHATO,Jamshedpur,JMM, 3 ,Graduate,3058500,0,2004
Pranab Mukherjee,Jangipur,INC,0,Doctorate,15204925,217267,2004
PARASNATH YADAVA,Jaunpur,SP,0,12th Pass,2941300,0,2004
KANTILAL BHURIA,Jhabua,INC,0,Post Graduate,14041825,0,2004
DUSHYANT SINGH,Jhalawar,BJP,0,Post Graduate,7082067,0,2004
DEVENDRA PRASAD YADAV,Jhanjharpur,RJD,0,Graduate,1137321,245123,2004
CHANDRAPAL SINGH YADAV,Jhansi,SP, 1 ,Post Graduate,5307820,0,2004
Rupchand Murmu,Jhargram,CPM, 1 ,12th Pass,1041089,101870,2004
SHISH RAM OLA,Jhunjhunu,INC,0,10th Pass,4771614,984980,2004
JASWANT SINGH BISHNOI,Jodhpur,BJP,0,Graduate Professional,6993029,489166,2004
BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,1356192,0,2004
Sanat Kumar Mandal,Joynagar,RSP,0,Graduate Professional,2189190,0,2004
RANA GURJEET SINGH,Jullundur,INC,0,10th Pass,205828008,2500000,2004
BARAD JASUBHAI DHANABHAI,Junagadh,INC, 2 ,Graduate,18457408,0,2004
DINSHA PATEL,Kaira,INC,0,10th Pass,5727475,3083830,2004
ANURADHA CHOUDHARY,Kairana,RLD,0,Graduate,43904200,0,2004
BENI PRASAD VERMA,Kaiserganj,SP,0,Graduate Professional,4112560,0,2004
BIKRAM KESHARI DEO,Kalahandi,BJP,0,Graduate,3237000,10823,2004
DIP GOGOI,Kaliabor,INC,0,Graduate,342751,0,2004
TEJASHWINI SEE RAMESH,Kanakapura,INC,0,Post Graduate,1160000,0,2004
ANANTHKUMAR HEGDE,Kanara,BJP, 3 ,12th Pass,1206000,13401653,2004
CHANDER KUMAR,Kangra,INC,0,Post Graduate,7304760,1916918,2004
SOHAN POTAI,Kanker,BJP,0,Post Graduate,2113856,71932,2004
AKHILESH YADAV,Kannauj,SP,0,Post Graduate,23142705,0,2004
SHRIPRAKASH JAISWAL,Kanpur,INC,0,10th Pass,19127260,0,2004
VAGHELA SHANKERSINH LAXMANSINH,Kapadvanj,INC,0,Post Graduate,7004174,0,2004
PATIL SHRINIWAS DADASAHEB,Karad,NCP,0,Post Graduate,12494141,0,2004
LALIT MOHAN SUKLABAIDYA,Karimganj,INC,0,Post Graduate,4197600,240000,2004
K. CHANDRA SHAKHER RAO,Karimnagar,TRS,0,Graduate,8598858,2559507,2004
ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,5736332,0,2004
KRISHNA TIRATH,Karol Bagh,INC,0,Graduate Professional,6415254,0,2004
"PALANISAMY, K. C.",Karur,DMK,0,5th Pass,546569007,63920476,2004
P. KARUNAKARAN,Kasaragod,CPM, 20 ,Post Graduate,5190249,10330,2004
NIKHIL KUMAR CHOUDHARY,Katihar,BJP, 1 ,Graduate,4535938,0,2004
Mahboob Zahedi,Katwa,CPM,0,10th Pass,2705606,332383,2004
ARCHANA NAYAK,Kendrapara,BJD,0,Post Graduate,384400,32000,2004
ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,818420,69086,2004
RABINDRA KU. RANA,Khagaria,RJD, 1 ,Graduate Professional,6336271,0,2004
DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,5183173,986766,2004
BHALCHANDRA YADAVA,Khalilabad,BSP, 10 ,Graduate,651000,260630,2004
RENUKA CHOWDHURY,Khammam,INC, 1 ,Post Graduate,136912161,300414,2004
NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),Khandwa,BJP,0,Graduate,4510192,947000,2004
KRISHNA MURARI MOGHE,Khargone,BJP,0,Graduate,7414005,88719,2004
ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,52230281,12332651,2004
RAVI PRAKASH VERMA,Kheri,SP,0,Graduate Professional,2916963,246079,2004
SUSHILA KERKETTA,Khunti,INC,0,Post Graduate,3328161,0,2004
ASHOK KUMAR PRADHAN,Khurja,BJP,0,Others,11589733,0,2004
TASLIMUDDIN,Kishanganj,RJD, 9 ,Literate,5525834,1012986,2004
BABULAL MARANDI,Kodarma,BJP,0,Graduate,500000,460000,2004
SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,IND,0,Graduate,1694686,0,2004
A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,28468000,0,2004
K.H. MUNIYAPPA,Kolar,INC,0,Graduate,6187039,397195,2004
MANDLIK SADASHIVRAO DADOBA,Kolhapur,NCP, 2 ,Graduate,8842586,986985,2004
E.  V.  ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,36937860,764653,2004
K. VIRUPAXAPPA,Koppal,INC,0,10th Pass,5230246,1046888,2004
GIRIDHAR GAMANG,Koraput,INC,0,Graduate,459812,0,2004
RAGHUVEER SINGH KOSHAL,Kota,BJP,0,Graduate Professional,5734998,664908,2004
K. SURESH KURUP,Kottayam,CPM,0,Graduate Professional,1818560,993202,2004
Jyotirmoyee Sikdar,Krishnagar,CPM,0,12th Pass,7545592,1036080,2004
SUGAVANAM. E. G,Krishnagiri,DMK, 1 ,Others,5121291,1991138,2004
KOTLA JAYASURYA PRAKASHA REDDY,Kurnool,INC,0,Graduate,15941801,681000,2004
NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,121295000,0,2004
GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,9730221,719633,2004
THUPSTAN CHHEWANG,Ladakh,IND,0,Graduate Professional,6139045,230415,2004
DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,1467028,0,2004
